id,name,ml_category,ml_confidence,ml_model,mimeType,file_size_bytes,user,created_at
6a9ea1a77ac3bed522fa161d,Whiteboard_Brainstorm.jpg,general,0.9162,TensorFlow/Keras Neural Network,image/jpeg,768000,team_lead,2026-09-07T11:36:07.852741+00:00
6a9ea1a77ac3bed522fa161b,Event_Planning_Checklist.xlsx,meeting-notes,0.1979,TensorFlow/Keras Neural Network,application/vnd.ms-excel,61440,prof_reviewer,2026-09-07T11:36:07.653823+00:00
6a9ea1a77ac3bed522fa1619,Certificate_Achievement.pdf,general,0.9774,TensorFlow/Keras Neural Network,application/pdf,409600,intern_user,2026-09-07T11:36:07.350805+00:00
6a9ea1a77ac3bed522fa1617,Shopping_List_Personal.txt,general,0.6206,TensorFlow/Keras Neural Network,text/plain,8192,atiqkapdi1726,2026-09-07T11:36:07.046769+00:00
6a9ea1a67ac3bed522fa1615,Arbitration_Settlement.pdf,legal,0.9855,TensorFlow/Keras Neural Network,application/pdf,266240,team_lead,2026-09-07T11:36:06.629364+00:00
6a9ea1a57ac3bed522fa1613,Power_Of_Attorney.docx,legal,0.9737,TensorFlow/Keras Neural Network,application/msword,81920,atiqkapdi1726,2026-09-07T11:36:05.969177+00:00
6a9ea1a57ac3bed522fa1611,Terms_Of_Service.pdf,contract,0.7755,TensorFlow/Keras Neural Network,application/pdf,194560,prof_reviewer,2026-09-07T11:36:05.561181+00:00
6a9ea1a57ac3bed522fa160f,Legal_Notice_Case_2026.pdf,legal,0.9805,TensorFlow/Keras Neural Network,application/pdf,225280,atiqkapdi1726,2026-09-07T11:36:05.417428+00:00
6a9ea1a57ac3bed522fa160d,Tax_Return_Filing.pdf,financial,0.9815,TensorFlow/Keras Neural Network,application/pdf,624640,team_lead,2026-09-07T11:36:05.217094+00:00
6a9ea1a47ac3bed522fa160b,Budget_2026_Plan.xlsx,financial,0.4903,TensorFlow/Keras Neural Network,application/vnd.ms-excel,296960,intern_user,2026-09-07T11:36:04.990067+00:00
6a9ea1a47ac3bed522fa1609,Cash_Flow_Statement.xlsx,financial,0.992,TensorFlow/Keras Neural Network,application/vnd.ms-excel,358400,team_lead,2026-09-07T11:36:04.737890+00:00
6a9ea1a47ac3bed522fa1607,Balance_Sheet_2025.xlsx,financial,0.9924,TensorFlow/Keras Neural Network,application/vnd.ms-excel,491520,atiqkapdi1726,2026-09-07T11:36:04.282463+00:00
6a9ea1a37ac3bed522fa1605,Privacy_Policy_GDPR.pdf,policy,0.3982,TensorFlow/Keras Neural Network,application/pdf,389120,intern_user,2026-09-07T11:36:03.717855+00:00
6a9ea1a37ac3bed522fa1603,Remote_Work_Policy.docx,policy,0.932,TensorFlow/Keras Neural Network,application/msword,143360,prof_reviewer,2026-09-07T11:36:03.290340+00:00
6a9ea1a37ac3bed522fa1601,IT_Security_Policy.pdf,policy,0.9769,TensorFlow/Keras Neural Network,application/pdf,430080,atiqkapdi1726,2026-09-07T11:36:03.086132+00:00
6a9ea1a27ac3bed522fa15ff,Employee_Handbook_Policy.pdf,policy,0.9817,TensorFlow/Keras Neural Network,application/pdf,972800,intern_user,2026-09-07T11:36:02.834849+00:00
6a9ea1a27ac3bed522fa15fd,Standup_Sync_Notes.txt,meeting-notes,0.9358,TensorFlow/Keras Neural Network,text/plain,12288,team_lead,2026-09-07T11:36:02.529916+00:00
6a9ea1a27ac3bed522fa15fb,Kickoff_Meeting_Agenda.docx,meeting-notes,0.3696,TensorFlow/Keras Neural Network,application/msword,38912,intern_user,2026-09-07T11:36:02.245776+00:00
6a9ea1a27ac3bed522fa15f9,Board_Meeting_Minutes.pdf,meeting-notes,0.9923,TensorFlow/Keras Neural Network,application/pdf,133120,team_lead,2026-09-07T11:36:02.100668+00:00
6a9ea1a17ac3bed522fa15f7,Weekly_Team_Meeting_Notes.docx,meeting-notes,0.9872,TensorFlow/Keras Neural Network,application/msword,46080,intern_user,2026-09-07T11:36:01.906566+00:00
6a9ea1a17ac3bed522fa15f5,Client_Proposal_Presentation.pptx,presentation,0.976,TensorFlow/Keras Neural Network,application/vnd.ms-powerpoint,3174400,atiqkapdi1726,2026-09-07T11:36:01.406152+00:00
6a9ea1a07ac3bed522fa15f3,Product_Demo_Slides.pptx,presentation,0.9811,TensorFlow/Keras Neural Network,application/vnd.ms-powerpoint,5734400,prof_reviewer,2026-09-07T11:36:00.972259+00:00
6a9ea1a07ac3bed522fa15f1,Pitch_Deck_Startup.pptx,presentation,0.9884,TensorFlow/Keras Neural Network,application/vnd.ms-powerpoint,2457600,intern_user,2026-09-07T11:36:00.692144+00:00
6a9ea1a07ac3bed522fa15ef,Vendor_Service_Agreement.pdf,contract,0.9644,TensorFlow/Keras Neural Network,application/pdf,184320,prof_reviewer,2026-09-07T11:36:00.261653+00:00
6a9ea19f7ac3bed522fa15ed,Office_Lease_Agreement.pdf,contract,0.9914,TensorFlow/Keras Neural Network,application/pdf,307200,team_lead,2026-09-07T11:35:59.981612+00:00
6a9ea19f7ac3bed522fa15eb,NDA_Confidentiality.pdf,contract,0.9866,TensorFlow/Keras Neural Network,application/pdf,112640,team_lead,2026-09-07T11:35:59.270914+00:00
6a9ea19f7ac3bed522fa15e9,Employee_Contract_Templates.docx,contract,0.9936,TensorFlow/Keras Neural Network,application/msword,97280,atiqkapdi1726,2026-09-07T11:35:59.078619+00:00
6a9ea19e7ac3bed522fa15e7,Project_Status_Report.docx,report,0.9045,TensorFlow/Keras Neural Network,application/msword,215040,prof_reviewer,2026-09-07T11:35:58.929691+00:00
6a9ea19e7ac3bed522fa15e5,Market_Research_Report.pdf,report,0.9889,TensorFlow/Keras Neural Network,application/pdf,552960,team_lead,2026-09-07T11:35:58.763565+00:00
6a9ea19e7ac3bed522fa15e3,Q3_Performance_Report.pdf,report,0.9727,TensorFlow/Keras Neural Network,application/pdf,634880,team_lead,2026-09-07T11:35:58.574468+00:00
6a9ea19e7ac3bed522fa15e1,Annual_Report_2025.pdf,report,0.9524,TensorFlow/Keras Neural Network,application/pdf,870400,intern_user,2026-09-07T11:35:58.425270+00:00
6a9ea19e7ac3bed522fa15df,Resume_Data_Analyst.pdf,resume,0.4839,TensorFlow/Keras Neural Network,application/pdf,327680,team_lead,2026-09-07T11:35:58.245155+00:00
6a9ea19e7ac3bed522fa15dd,Resume_Intern_Application.docx,resume,0.9486,TensorFlow/Keras Neural Network,application/msword,153600,atiqkapdi1726,2026-09-07T11:35:58.000229+00:00
6a9ea19d7ac3bed522fa15db,Resume_Backend_Developer.pdf,resume,0.9526,TensorFlow/Keras Neural Network,application/pdf,317440,team_lead,2026-09-07T11:35:57.852251+00:00
6a9ea19d7ac3bed522fa15d9,Resume_Atique_Kapdi.pdf,resume,0.9755,TensorFlow/Keras Neural Network,application/pdf,348160,atiqkapdi1726,2026-09-07T11:35:57.454059+00:00
6a9ea19d7ac3bed522fa15d7,Invoice_OfficeSupplies.pdf,invoice,0.9305,TensorFlow/Keras Neural Network,application/pdf,76800,prof_reviewer,2026-09-07T11:35:57.309659+00:00
6a9ea19d7ac3bed522fa15d5,Invoice_April_Internet.pdf,invoice,0.6361,TensorFlow/Keras Neural Network,application/pdf,92160,prof_reviewer,2026-09-07T11:35:57.169252+00:00
6a9ea19d7ac3bed522fa15d3,Invoice_March_Electricity.pdf,invoice,0.8685,TensorFlow/Keras Neural Network,application/pdf,87040,prof_reviewer,2026-09-07T11:35:57.005295+00:00
6a9ea19c7ac3bed522fa15d1,Invoice_2026_Q2_CloudHost.pdf,invoice,0.686,TensorFlow/Keras Neural Network,application/pdf,100352,atiqkapdi1726,2026-09-07T11:35:56.823756+00:00
6a9ea19c7ac3bed522fa15cf,Invoice_2026_Q1_VendorTech.pdf,invoice,0.948,TensorFlow/Keras Neural Network,application/pdf,122880,prof_reviewer,2026-09-07T11:35:56.644763+00:00
